source,target,type,intensite
S0482,S0339,amitie,4
S0437,S0231,amitie,2
S0022,S0198,amitie,3
S0250,S0099,amitie,1
S0429,S0336,amitie,3
S0135,S0016,amitie,2
S0489,S0033,amitie,1
S0211,S0360,amitie,4
S0216,S0338,amitie,4
S0476,S0214,amitie,1
S0418,S0477,colocation,1
S0248,S0170,amitie,3
S0028,S0468,amitie,1
S0060,S0486,amitie,1
S0431,S0341,cours_partage,1
S0127,S0276,amitie,2
S0070,S0254,cours_partage,4
S0407,S0071,amitie,1
S0468,S0062,amitie,2
S0039,S0151,amitie,4
S0168,S0160,cours_partage,4
S0472,S0134,amitie,3
S0015,S0097,colocation,1
S0009,S0161,cours_partage,1
S0005,S0346,colocation,2
S0065,S0226,amitie,1
S0002,S0158,amitie,4
S0060,S0365,cours_partage,2
S0488,S0390,colocation,2
S0129,S0232,amitie,1
S0302,S0298,amitie,1
S0182,S0389,cours_partage,3
S0027,S0210,cours_partage,4
S0195,S0241,amitie,4
S0279,S0344,amitie,3
S0159,S0011,cours_partage,3
S0415,S0236,amitie,4
S0431,S0309,cours_partage,2
S0035,S0332,cours_partage,2
S0223,S0212,amitie,2
S0051,S0164,colocation,2
S0004,S0347,amitie,3
S0237,S0447,amitie,3
S0397,S0079,amitie,2
S0323,S0410,amitie,4
S0131,S0475,amitie,4
S0120,S0187,cours_partage,2
S0149,S0479,cours_partage,4
S0436,S0338,cours_partage,3
S0382,S0226,cours_partage,4
S0456,S0355,amitie,1
S0280,S0398,amitie,4
S0184,S0328,amitie,3
S0267,S0095,amitie,2
S0130,S0284,colocation,3
S0190,S0248,amitie,3
S0465,S0121,amitie,2
S0040,S0143,amitie,2
S0302,S0271,amitie,4
S0444,S0275,amitie,2
S0327,S0215,amitie,1
S0127,S0453,amitie,2
S0447,S0032,amitie,2
S0357,S0319,colocation,2
S0027,S0021,amitie,1
S0112,S0404,amitie,2
S0282,S0443,cours_partage,2
S0273,S0429,amitie,1
S0362,S0366,colocation,1
S0441,S0494,colocation,2
S0247,S0310,colocation,2
S0292,S0493,colocation,3
S0405,S0218,cours_partage,2
S0298,S0228,cours_partage,4
S0250,S0334,colocation,1
S0290,S0151,amitie,4
S0111,S0399,amitie,4
S0473,S0466,cours_partage,2
S0132,S0069,cours_partage,1
S0333,S0107,colocation,1
S0395,S0097,amitie,3
S0311,S0248,amitie,4
S0286,S0385,amitie,4
S0277,S0499,amitie,1
S0012,S0161,amitie,2
S0231,S0129,amitie,2
S0256,S0280,colocation,1
S0076,S0405,cours_partage,4
S0454,S0045,amitie,3
S0059,S0392,amitie,2
S0267,S0085,amitie,2
S0371,S0077,amitie,4
S0124,S0443,amitie,1
S0490,S0190,amitie,3
S0377,S0113,amitie,1
S0406,S0032,cours_partage,3
S0376,S0493,amitie,3
S0339,S0413,amitie,2
S0127,S0187,colocation,3
S0064,S0345,colocation,1
S0255,S0233,cours_partage,1
S0031,S0156,amitie,2
S0144,S0051,amitie,1
S0041,S0039,amitie,2
S0114,S0439,cours_partage,1
S0065,S0033,cours_partage,3
S0422,S0089,amitie,4
S0237,S0271,amitie,3
S0411,S0466,colocation,4
S0296,S0285,amitie,3
S0445,S0265,cours_partage,2
S0286,S0399,amitie,2
S0402,S0096,amitie,4
S0090,S0046,cours_partage,2
S0054,S0323,colocation,2
S0413,S0082,amitie,1
S0286,S0206,cours_partage,2
S0103,S0447,cours_partage,3
S0148,S0485,amitie,2
S0031,S0179,amitie,4
S0280,S0184,amitie,4
S0464,S0098,amitie,1
S0313,S0075,amitie,3
S0199,S0469,amitie,2
S0250,S0333,amitie,1
S0110,S0395,amitie,4
S0070,S0283,colocation,2
S0249,S0229,colocation,4
S0375,S0197,amitie,3
S0311,S0403,cours_partage,4
S0048,S0022,amitie,3
S0428,S0435,amitie,3
S0237,S0130,amitie,4
S0157,S0369,amitie,4
S0399,S0477,amitie,4
S0261,S0428,amitie,1
S0323,S0090,cours_partage,2
S0266,S0354,amitie,4
S0081,S0416,amitie,4
S0002,S0291,amitie,1
S0044,S0258,amitie,1
S0066,S0375,cours_partage,4
S0235,S0188,cours_partage,4
S0294,S0478,colocation,4
S0052,S0047,amitie,3
S0001,S0299,cours_partage,2
S0288,S0211,colocation,1
S0213,S0182,amitie,3
S0279,S0428,cours_partage,3
S0049,S0061,amitie,2
S0429,S0467,amitie,2
S0395,S0453,amitie,3
S0070,S0172,cours_partage,3
S0316,S0275,amitie,3
S0394,S0100,colocation,2
S0441,S0095,colocation,4
S0422,S0464,amitie,1
S0341,S0386,colocation,1
S0143,S0307,amitie,3
S0172,S0171,cours_partage,2
S0461,S0403,colocation,1
S0218,S0162,colocation,1
S0053,S0113,amitie,4
S0425,S0089,amitie,4
S0331,S0324,colocation,2
S0474,S0343,amitie,2
S0300,S0303,amitie,2
S0490,S0231,colocation,3
S0000,S0061,cours_partage,3
S0112,S0196,amitie,3
S0098,S0296,cours_partage,3
S0334,S0267,colocation,1
S0266,S0224,amitie,3
S0313,S0184,cours_partage,4
S0223,S0330,amitie,1
S0211,S0352,colocation,4
S0332,S0140,amitie,2
S0198,S0036,amitie,1
S0389,S0115,amitie,4
S0121,S0455,amitie,2
S0313,S0082,amitie,4
S0240,S0294,colocation,2
S0193,S0485,cours_partage,3
S0319,S0003,colocation,2
S0261,S0249,colocation,2
S0490,S0362,amitie,2
S0108,S0442,cours_partage,3
S0264,S0343,amitie,2
S0084,S0276,amitie,3
S0345,S0295,colocation,4
S0146,S0163,amitie,1
S0142,S0396,amitie,3
S0236,S0459,colocation,3
S0129,S0497,amitie,3
S0492,S0027,colocation,3
S0495,S0244,amitie,2
S0406,S0199,amitie,1
S0363,S0309,cours_partage,1
S0253,S0262,amitie,1
S0212,S0478,amitie,2
S0458,S0038,colocation,2
S0437,S0463,cours_partage,4
S0091,S0210,amitie,2
S0083,S0060,amitie,1
S0393,S0161,amitie,4
S0375,S0345,amitie,2
S0213,S0092,amitie,2
S0392,S0428,cours_partage,2
S0438,S0106,cours_partage,3
S0341,S0023,colocation,4
S0361,S0152,cours_partage,2
S0493,S0307,amitie,4
S0120,S0469,amitie,2
S0198,S0439,cours_partage,3
S0045,S0206,amitie,4
S0172,S0430,amitie,2
S0073,S0165,amitie,3
S0001,S0254,cours_partage,4
S0110,S0488,amitie,4
S0290,S0071,cours_partage,3
S0258,S0037,amitie,2
S0055,S0224,amitie,1
S0300,S0041,colocation,3
S0401,S0200,amitie,2
S0074,S0223,amitie,2
S0084,S0176,cours_partage,3
S0247,S0318,amitie,1
S0407,S0483,amitie,2
S0293,S0137,amitie,2
S0197,S0074,amitie,1
S0245,S0162,amitie,2
S0270,S0369,cours_partage,3
S0202,S0148,amitie,3
S0264,S0376,cours_partage,1
S0367,S0331,amitie,4
S0366,S0065,cours_partage,3
S0239,S0289,amitie,3
S0262,S0432,amitie,3
S0268,S0370,amitie,2
S0397,S0330,amitie,2
S0186,S0125,amitie,3
S0275,S0160,amitie,3
S0384,S0162,amitie,2
S0470,S0118,amitie,2
S0362,S0164,amitie,4
S0466,S0173,amitie,4
S0239,S0122,colocation,1
S0486,S0140,colocation,3
S0463,S0088,cours_partage,1
S0225,S0019,amitie,4
S0434,S0011,amitie,3
S0160,S0147,amitie,2
S0497,S0117,cours_partage,2
S0304,S0222,colocation,4
S0308,S0400,amitie,3
S0104,S0282,colocation,3
S0382,S0340,amitie,2
S0459,S0498,amitie,1
S0416,S0487,amitie,4
S0056,S0203,cours_partage,2
S0160,S0366,amitie,2
S0108,S0162,cours_partage,1
S0373,S0257,amitie,2
S0418,S0247,amitie,4
S0264,S0344,amitie,3
S0342,S0125,colocation,1
S0085,S0078,amitie,4
S0410,S0414,colocation,3
S0458,S0025,cours_partage,4
S0329,S0175,amitie,4
S0170,S0077,colocation,3
S0103,S0318,colocation,3
S0135,S0134,amitie,2
S0465,S0212,amitie,3
S0323,S0348,colocation,2
S0092,S0096,amitie,2
S0043,S0265,cours_partage,3
S0009,S0264,amitie,1
S0427,S0322,amitie,3
S0227,S0073,amitie,2
S0364,S0436,cours_partage,1
S0248,S0066,cours_partage,3
S0019,S0302,amitie,2
S0054,S0230,amitie,4
S0257,S0492,amitie,4
S0265,S0434,amitie,3
S0187,S0011,colocation,2
S0365,S0154,colocation,3
S0151,S0068,cours_partage,1
S0019,S0436,amitie,2
S0078,S0056,amitie,1
S0320,S0383,amitie,1
S0356,S0207,cours_partage,3
S0021,S0399,amitie,3
S0348,S0418,amitie,4
S0284,S0216,cours_partage,1
S0092,S0194,cours_partage,2
S0038,S0050,cours_partage,4
S0452,S0303,colocation,3
S0195,S0312,amitie,1
S0294,S0091,amitie,3
S0390,S0296,amitie,2
S0264,S0279,cours_partage,4
S0109,S0251,colocation,1
S0095,S0434,amitie,4
S0387,S0461,amitie,2
S0421,S0194,cours_partage,2
S0245,S0228,cours_partage,3
S0194,S0425,amitie,1
S0188,S0344,amitie,2
S0096,S0046,amitie,3
S0211,S0225,amitie,2
S0184,S0281,amitie,4
S0081,S0096,amitie,1
S0321,S0450,amitie,4
S0455,S0488,amitie,2
S0174,S0122,amitie,2
S0497,S0479,cours_partage,4
S0324,S0315,colocation,3
S0457,S0442,amitie,2
S0093,S0405,amitie,3
S0428,S0219,amitie,4
S0468,S0247,amitie,1
S0416,S0093,amitie,1
S0486,S0497,amitie,1
S0386,S0425,cours_partage,4
S0154,S0100,amitie,3
S0106,S0079,amitie,2
S0169,S0428,colocation,3
S0148,S0191,colocation,4
S0385,S0250,amitie,4
S0312,S0455,amitie,2
S0319,S0484,amitie,1
S0492,S0052,cours_partage,3
S0247,S0361,colocation,2
S0141,S0126,cours_partage,3
S0183,S0449,cours_partage,1
S0177,S0275,amitie,3
S0364,S0391,amitie,3
S0273,S0337,amitie,3
S0489,S0062,amitie,2
S0289,S0377,amitie,4
S0015,S0391,amitie,4
S0045,S0344,amitie,4
S0488,S0163,amitie,4
S0461,S0438,amitie,1
S0099,S0452,colocation,1
S0458,S0063,amitie,4
S0493,S0264,amitie,3
S0369,S0294,amitie,4
S0055,S0117,colocation,4
S0419,S0302,colocation,1
S0299,S0128,amitie,4
S0461,S0174,colocation,3
S0357,S0014,amitie,3
S0258,S0454,amitie,1
S0423,S0170,cours_partage,1
S0479,S0268,amitie,4
S0287,S0092,cours_partage,3
S0063,S0385,amitie,1
S0153,S0209,cours_partage,3
S0432,S0066,amitie,3
S0007,S0251,colocation,3
S0470,S0137,amitie,2
S0248,S0077,amitie,1
S0217,S0184,cours_partage,2
S0268,S0178,amitie,1
S0271,S0166,amitie,4
S0284,S0398,colocation,2
S0337,S0471,amitie,4
S0215,S0166,amitie,3
S0175,S0134,colocation,2
S0148,S0238,cours_partage,2
S0050,S0226,amitie,1
S0375,S0365,colocation,1
S0121,S0171,colocation,1
S0316,S0172,cours_partage,3
S0422,S0350,amitie,2
S0051,S0458,colocation,2
S0338,S0070,cours_partage,2
S0367,S0155,amitie,2
S0040,S0263,cours_partage,3
S0205,S0356,amitie,2
S0322,S0089,amitie,3
S0030,S0025,colocation,4
S0101,S0333,amitie,4
S0382,S0351,amitie,3
S0287,S0067,amitie,4
S0014,S0073,amitie,4
S0023,S0278,amitie,1
S0113,S0354,amitie,4
S0274,S0057,amitie,1
S0172,S0437,cours_partage,3
S0059,S0263,amitie,2
S0315,S0232,amitie,4
S0188,S0413,amitie,1
S0053,S0089,amitie,3
S0177,S0261,cours_partage,4
S0338,S0260,amitie,1
S0323,S0220,amitie,4
S0434,S0257,amitie,2
S0250,S0194,amitie,1
S0397,S0312,cours_partage,1
S0317,S0380,amitie,3
S0361,S0173,cours_partage,2
S0176,S0453,cours_partage,2
S0455,S0186,amitie,1
S0496,S0216,cours_partage,2
S0464,S0354,colocation,4
S0347,S0090,cours_partage,3
S0233,S0260,cours_partage,2
S0361,S0214,colocation,3
S0079,S0215,cours_partage,4
S0051,S0280,amitie,4
S0090,S0253,amitie,3
S0208,S0350,amitie,1
S0417,S0078,colocation,1
S0460,S0067,amitie,3
S0462,S0332,colocation,2
S0325,S0018,colocation,1
S0131,S0403,amitie,3
S0294,S0462,amitie,4
S0271,S0374,amitie,1
S0276,S0419,amitie,1
S0367,S0075,amitie,1
S0112,S0429,colocation,3
S0232,S0445,amitie,3
S0021,S0392,cours_partage,1
S0106,S0488,colocation,1
S0343,S0249,amitie,3
S0250,S0363,amitie,3
S0076,S0139,colocation,3
S0280,S0034,amitie,4
S0421,S0172,cours_partage,1
S0258,S0106,amitie,1
S0447,S0019,amitie,4
S0166,S0180,cours_partage,2
S0421,S0339,amitie,2
S0166,S0327,amitie,4
S0333,S0381,cours_partage,3
S0319,S0070,amitie,2
S0012,S0008,cours_partage,3
S0318,S0292,amitie,2
S0051,S0278,amitie,4
S0216,S0244,amitie,4
S0459,S0486,amitie,3
S0409,S0085,amitie,3
S0488,S0057,amitie,1
S0079,S0048,amitie,3
S0476,S0375,amitie,1
S0470,S0227,amitie,3
S0261,S0241,amitie,3
S0301,S0475,amitie,3
S0388,S0014,cours_partage,2
S0413,S0048,amitie,1
S0331,S0265,amitie,3
S0466,S0302,colocation,2
S0186,S0010,amitie,3
S0386,S0316,amitie,1
S0212,S0121,amitie,2
S0252,S0272,amitie,1
S0119,S0217,amitie,2
S0255,S0160,cours_partage,2
S0434,S0051,amitie,3
S0322,S0301,colocation,4
S0087,S0304,colocation,1
S0403,S0482,colocation,1
S0062,S0114,colocation,4
S0314,S0423,colocation,4
S0069,S0116,amitie,1
S0223,S0048,amitie,3
S0311,S0190,amitie,4
S0286,S0045,amitie,1
S0130,S0327,amitie,4
S0335,S0326,amitie,4
S0472,S0201,amitie,3
S0356,S0153,colocation,1
S0259,S0011,amitie,3
S0051,S0052,cours_partage,2
S0118,S0142,colocation,3
S0291,S0032,colocation,4
S0012,S0273,amitie,1
S0463,S0227,amitie,3
S0199,S0345,colocation,4
S0011,S0043,colocation,4
S0442,S0208,amitie,1
S0264,S0014,colocation,4
S0298,S0376,amitie,4
S0477,S0049,amitie,4
S0006,S0342,amitie,1
S0150,S0159,cours_partage,4
S0256,S0184,colocation,3
S0453,S0376,amitie,1
S0320,S0408,colocation,2
S0442,S0264,amitie,3
S0268,S0433,cours_partage,2
S0479,S0051,colocation,4
S0370,S0042,amitie,1
S0319,S0177,amitie,1
S0256,S0056,amitie,1
S0151,S0044,amitie,1
S0096,S0270,colocation,3
S0078,S0452,colocation,2
S0348,S0432,amitie,3
S0180,S0237,colocation,1
S0068,S0109,cours_partage,2
S0071,S0270,colocation,1
S0218,S0188,amitie,1
S0113,S0132,amitie,2
S0098,S0044,amitie,3
S0466,S0418,colocation,3
S0213,S0001,cours_partage,1
S0485,S0278,amitie,2
S0205,S0379,amitie,1
S0301,S0285,amitie,2
S0031,S0168,amitie,3
S0463,S0287,amitie,4
S0135,S0399,amitie,3
S0479,S0368,amitie,3
S0420,S0315,cours_partage,1
S0289,S0461,amitie,2
S0058,S0186,amitie,4
S0220,S0493,colocation,1
S0264,S0245,colocation,2
S0268,S0018,amitie,2
S0209,S0321,cours_partage,1
S0282,S0408,amitie,3
S0124,S0254,amitie,2
S0014,S0298,amitie,3
S0429,S0133,amitie,4
S0117,S0112,colocation,3
S0467,S0456,amitie,3
S0134,S0126,colocation,3
S0361,S0033,amitie,1
S0170,S0489,colocation,4
S0236,S0138,cours_partage,3
S0221,S0402,colocation,3
S0196,S0204,amitie,2
S0005,S0277,cours_partage,3
S0090,S0237,colocation,3
S0272,S0092,colocation,1
S0182,S0146,cours_partage,4
S0285,S0147,amitie,2
S0037,S0174,cours_partage,4
S0319,S0377,amitie,1
S0489,S0439,colocation,1
S0380,S0222,amitie,1
S0103,S0123,cours_partage,3
S0084,S0368,amitie,2
S0021,S0370,amitie,4
S0260,S0200,amitie,3
S0025,S0042,amitie,4
S0196,S0496,amitie,1
S0121,S0478,amitie,3
S0127,S0175,colocation,3
S0248,S0295,amitie,4
S0221,S0348,colocation,4
S0478,S0312,colocation,2
S0384,S0362,amitie,4
S0053,S0461,amitie,2
S0235,S0357,cours_partage,3
S0198,S0441,amitie,3
S0123,S0332,amitie,3
S0305,S0464,colocation,3
S0099,S0491,amitie,1
S0125,S0450,amitie,3
S0349,S0427,amitie,1
S0354,S0488,cours_partage,1
S0432,S0401,cours_partage,3
S0268,S0256,cours_partage,4
S0416,S0114,cours_partage,2
S0328,S0390,colocation,1
S0468,S0222,amitie,2
S0014,S0334,amitie,3
S0173,S0362,amitie,4
S0036,S0292,amitie,3
S0284,S0320,amitie,4
S0075,S0385,colocation,3
S0316,S0496,amitie,2
S0400,S0463,amitie,2
S0026,S0278,amitie,3
S0001,S0163,amitie,3
S0024,S0116,amitie,4
S0127,S0183,colocation,4
S0051,S0184,amitie,1
S0303,S0405,cours_partage,1
S0114,S0318,amitie,3
S0057,S0289,amitie,2
S0375,S0332,cours_partage,1
S0371,S0117,colocation,3
S0495,S0408,colocation,1
S0361,S0224,cours_partage,2
S0372,S0208,colocation,4
S0462,S0486,amitie,2
S0327,S0107,colocation,1
S0355,S0435,amitie,3
S0359,S0127,colocation,2
S0101,S0250,amitie,2
S0065,S0496,amitie,2
S0152,S0495,amitie,2
S0022,S0446,colocation,2
S0206,S0385,colocation,2
S0220,S0022,amitie,1
S0060,S0064,cours_partage,1
S0388,S0307,colocation,1
S0338,S0176,cours_partage,1
S0163,S0254,amitie,1
S0185,S0056,cours_partage,3
S0239,S0194,amitie,2
S0108,S0261,cours_partage,2
S0108,S0082,cours_partage,1
S0035,S0297,amitie,2
S0352,S0445,colocation,3
S0410,S0441,amitie,3
S0026,S0279,colocation,4
S0192,S0199,amitie,1
S0090,S0291,colocation,2
S0275,S0105,amitie,3
S0002,S0271,amitie,2
S0145,S0109,amitie,2
S0222,S0288,cours_partage,4
S0281,S0480,amitie,1
S0062,S0404,amitie,2
S0357,S0206,cours_partage,4
S0345,S0125,amitie,4
S0297,S0236,amitie,4
S0290,S0077,colocation,3
S0136,S0341,cours_partage,4
S0485,S0442,amitie,3
S0302,S0413,amitie,3
S0309,S0266,cours_partage,4
S0215,S0346,amitie,2
S0307,S0109,cours_partage,1
S0078,S0269,amitie,2
S0092,S0429,cours_partage,2
S0338,S0092,amitie,1
S0482,S0331,amitie,3
S0342,S0168,colocation,1
S0450,S0365,cours_partage,2
S0426,S0176,cours_partage,1
S0050,S0106,amitie,1
S0100,S0052,amitie,3
S0478,S0377,amitie,4
S0410,S0446,colocation,2
S0117,S0417,amitie,2
S0300,S0270,amitie,3
S0482,S0121,colocation,2
S0430,S0092,amitie,4
S0414,S0291,colocation,1
S0267,S0349,amitie,1
S0346,S0180,colocation,3
S0491,S0387,amitie,4
S0169,S0162,amitie,1
S0463,S0126,colocation,2
S0375,S0077,amitie,3
S0132,S0072,amitie,3
S0164,S0459,cours_partage,3
S0367,S0492,colocation,1
S0049,S0242,amitie,1
S0325,S0245,colocation,4
S0038,S0445,amitie,1
S0431,S0254,amitie,3
S0129,S0374,amitie,2
S0014,S0156,amitie,3
S0425,S0128,amitie,3
S0369,S0384,amitie,2
S0326,S0253,colocation,4
S0345,S0497,amitie,1
S0498,S0417,cours_partage,2
S0011,S0214,amitie,3
S0242,S0087,amitie,3
S0143,S0473,colocation,1
S0483,S0473,amitie,2
S0459,S0196,amitie,3
S0349,S0271,amitie,3
S0313,S0040,cours_partage,1
S0081,S0227,cours_partage,1
S0039,S0462,amitie,2
S0390,S0050,amitie,3
S0148,S0246,amitie,3
S0402,S0046,amitie,4
S0132,S0045,amitie,3
S0389,S0299,amitie,3
S0438,S0116,amitie,1
S0459,S0372,colocation,1
S0225,S0114,amitie,1
S0191,S0391,amitie,2
S0195,S0161,amitie,4
S0326,S0441,amitie,3
S0163,S0430,amitie,2
S0027,S0142,amitie,2
S0086,S0127,amitie,4
S0101,S0347,amitie,4
S0048,S0328,cours_partage,2
S0032,S0378,colocation,3
S0218,S0046,amitie,4
S0373,S0053,amitie,1
S0139,S0008,amitie,3
S0357,S0419,amitie,4
S0412,S0156,colocation,2
S0047,S0280,amitie,1
S0085,S0031,amitie,1
S0282,S0341,colocation,2
S0248,S0082,colocation,4
S0326,S0236,amitie,3
S0386,S0112,colocation,2
S0165,S0344,cours_partage,4
S0306,S0050,amitie,1
S0052,S0485,amitie,2
S0445,S0214,amitie,2
S0095,S0094,amitie,4
S0259,S0049,amitie,4
S0335,S0204,amitie,4
S0464,S0022,amitie,3
S0058,S0121,amitie,2
S0468,S0277,amitie,1
S0143,S0442,amitie,3
S0029,S0199,colocation,4
S0163,S0250,colocation,3
S0091,S0125,cours_partage,4
S0202,S0153,amitie,4
S0433,S0492,colocation,2
S0394,S0028,cours_partage,2
S0214,S0358,amitie,3
S0493,S0208,colocation,1
S0429,S0421,amitie,1
S0356,S0158,amitie,1
S0180,S0410,colocation,4
S0489,S0095,colocation,1
S0134,S0085,colocation,1
S0284,S0373,colocation,2
S0126,S0129,colocation,1
S0034,S0067,amitie,1
S0249,S0443,amitie,1
S0439,S0219,amitie,4
S0283,S0379,amitie,2
S0334,S0356,amitie,1
S0054,S0441,amitie,1
S0449,S0185,amitie,3
S0045,S0339,amitie,4
S0117,S0209,amitie,3
S0093,S0288,amitie,1
S0122,S0403,amitie,4
S0084,S0181,cours_partage,2
S0483,S0474,cours_partage,3
S0089,S0397,colocation,1
S0235,S0376,amitie,4
S0422,S0140,amitie,4
S0399,S0298,colocation,3
S0016,S0452,amitie,3
S0468,S0198,cours_partage,4
S0020,S0489,amitie,4
S0445,S0083,amitie,4
S0052,S0479,amitie,2
S0255,S0307,amitie,1
S0278,S0478,amitie,1
S0087,S0452,amitie,1
S0110,S0257,colocation,4
S0191,S0150,amitie,4
S0072,S0403,amitie,4
S0115,S0312,amitie,1
S0245,S0319,colocation,2
S0135,S0458,amitie,3
S0367,S0395,amitie,2
S0342,S0365,amitie,4
S0241,S0197,amitie,3
S0429,S0386,amitie,1
S0071,S0202,amitie,1
S0185,S0331,cours_partage,1
S0496,S0430,colocation,4
S0211,S0082,cours_partage,2
S0223,S0072,colocation,4
S0200,S0335,amitie,2
S0421,S0034,cours_partage,2
S0229,S0376,colocation,2
S0397,S0478,amitie,1
S0216,S0137,cours_partage,1
S0003,S0262,amitie,1
S0377,S0422,cours_partage,4
S0262,S0171,amitie,1
S0317,S0217,amitie,2
S0193,S0027,amitie,3
S0266,S0004,colocation,3
S0419,S0073,colocation,3
S0142,S0095,amitie,2
S0378,S0317,colocation,3
S0209,S0027,colocation,1
S0137,S0036,amitie,2
S0138,S0033,cours_partage,3
S0131,S0296,colocation,2
S0198,S0348,amitie,1
S0387,S0075,amitie,1
S0300,S0021,amitie,4
S0261,S0206,amitie,1
S0128,S0082,amitie,3
S0489,S0292,cours_partage,2
S0132,S0089,amitie,3
S0363,S0283,cours_partage,3
S0409,S0368,cours_partage,1
S0161,S0412,amitie,3
S0310,S0139,cours_partage,2
S0097,S0235,amitie,1
S0411,S0471,amitie,2
S0371,S0180,amitie,2
S0377,S0312,colocation,1
S0239,S0220,cours_partage,4
S0173,S0236,amitie,4
S0290,S0316,amitie,3
S0052,S0078,amitie,1
S0223,S0476,colocation,4
S0220,S0322,amitie,4
S0276,S0184,amitie,1
S0466,S0388,amitie,2
S0353,S0337,amitie,4
S0499,S0468,cours_partage,4
S0158,S0205,cours_partage,4
S0026,S0493,amitie,2
S0397,S0223,amitie,4
S0436,S0487,amitie,2
S0122,S0064,cours_partage,2
S0081,S0189,amitie,2
S0057,S0301,amitie,4
S0243,S0444,amitie,2
S0444,S0102,colocation,3
S0204,S0408,cours_partage,1
S0467,S0114,amitie,1
S0129,S0462,cours_partage,4
S0121,S0318,amitie,4
S0391,S0193,cours_partage,3
S0197,S0341,cours_partage,3
S0204,S0147,cours_partage,2
S0440,S0047,amitie,1
